Date,App_Name,Category,Minutes_Used
2026-07-20,Instagram,Social Media,80
2026-07-20,YouTube,Entertainment,60
2026-07-20,VS Code,Coding,180
2026-07-20,Coursera,Education,90
2026-07-20,WhatsApp,Communication,40
2026-07-21,Instagram,Social Media,95
2026-07-21,Netflix,Entertainment,120
2026-07-21,VS Code,Coding,150
2026-07-21,Udemy,Education,60
2026-07-21,WhatsApp,Communication,35
2026-07-22,Instagram,Social Media,23
2026-07-22,Netflix,Entertainment,70
2026-07-22,VS Code,Coding,50
2026-07-22,Udemy,Education,120
2026-07-22,WhatsApp,Communication,45
2026-07-23,Instagram,Social Media,105
2026-07-23,Netflix,Entertainment,110
2026-07-23,VS Code,Coding,50
2026-07-23,Udemy,Education,40
2026-07-23,WhatsApp,Communication,30
2026-07-24,Instagram,Social Media,80
2026-07-24,Netflix,Entertainment,100
2026-07-24,VS Code,Coding,190
2026-07-24,Udemy,Education,100
2026-07-24,WhatsApp,Communication,80
2026-07-25,Instagram,Social Media,20
2026-07-25,Netflix,Entertainment,140
2026-07-25,VS Code,Coding,120
2026-07-25,Udemy,Education,20
2026-07-25,WhatsApp,Communication,10
2026-07-26,Instagram,Social Media,95
2026-07-26,Netflix,Entertainment,125
2026-07-26,VS Code,Coding,90
2026-07-26,Udemy,Education,20
2026-07-26,WhatsApp,Communication,60
2026-07-27,Instagram,Social Media,20
2026-07-27,Netflix,Entertainment,170
2026-07-27,VS Code,Coding,190
2026-07-27,Udemy,Education,30
2026-07-27,WhatsApp,Communication,30
2026-07-28,Instagram,Social Media,10
2026-07-28,Netflix,Entertainment,130
2026-07-28,VS Code,Coding,120
2026-07-28,Udemy,Education,70
2026-07-28,WhatsApp,Communication,45
2026-07-29,Instagram,Social Media,80
2026-07-29,Netflix,Entertainment,190
2026-07-29,VS Code,Coding,120
2026-07-29,Udemy,Education,80
2026-07-29,WhatsApp,Communication,90
2026-07-30,Instagram,Social Media,70
2026-07-30,Netflix,Entertainment,130
2026-07-30,VS Code,Coding,170
2026-07-30,Udemy,Education,55
2026-07-30,WhatsApp,Communication,45
2026-07-31,Instagram,Social Media,65
2026-07-31,Netflix,Entertainment,170
2026-07-31,VS Code,Coding,120
2026-07-31,Udemy,Education,80
2026-07-31,WhatsApp,Communication,90
2026-08-01,Instagram,Social Media,90
2026-08-01,Netflix,Entertainment,180
2026-08-01,VS Code,Coding,100
2026-08-01,Udemy,Education,20
2026-08-01,WhatsApp,Communication,55
2026-08-02,Instagram,Social Media,65
2026-08-02,Netflix,Entertainment,120
2026-08-02,VS Code,Coding,130
2026-08-02,Udemy,Education,65
2026-08-02,WhatsApp,Communication,80
